key_fangraphs,key_mlbam
20505,671221.0
24934,681807.0
22514,671213.0
25346,682927.0
19864,656180.0
25844,669722.0
25332,682848.0
22197,669004.0
26106,668974.0
22532,671289.0
19844,647351.0
19818,641943.0
11445,592192.0
31396,682988.0
19896,657136.0
21270,656248.0
24759,681508.0
17696,621028.0
24703,681146.0
13621,600869.0
27534,666397.0
24729,681351.0
11899,592626.0
28552,692585.0
6887,455117.0
18900,665750.0
16572,656582.0
22823,672724.0
25467,683770.0
23296,676070.0
17027,657077.0
14551,623993.0
29575,700242.0
13185,606115.0
27962,691182.0
15464,592669.0
25040,681962.0
24496,680577.0
14813,571657.0
19610,660688.0
31166,677008.0
24257,678877.0
27475,691023.0
19734,668942.0
13723,607732.0
35041,695506.0
18126,664774.0
25845,669911.0
